2,17,,,
前方的区域禁止进入,FALSE,TRUE,FaceSanae_an,FaceRakuki_no
你是谁 为什么要阻拦我？,TRUE,FALSE,FaceSanae_an,FaceRakuki_no
我叫洛熙,FALSE,TRUE,FaceSanae_an,FaceRakuki_an2
你是人类？回去吧 这些与你无关,FALSE,TRUE,FaceSanae_an,FaceRakuki_no
果然你们在谋划些什么,TRUE,FALSE,FaceSanae_no,FaceRakuki_no
我是现人神 可不能坐视不管,TRUE,FALSE,FaceSanae_no2,FaceRakuki_no
现人神也是一样,FALSE,TRUE,FaceSanae_no2,FaceRakuki_an2
只要争取到足够的时间的话,FALSE,TRUE,FaceSanae_no2,FaceRakuki_dp
我们自然会离开这里,FALSE,TRUE,FaceSanae_no2,FaceRakuki_no2
这怎么可以！,TRUE,FALSE,FaceSanae_sw,FaceRakuki_no2
再放任这些魔力的流星不管的话,TRUE,FALSE,FaceSanae_sw,FaceRakuki_no2
各路妖怪们都会暴动的,TRUE,FALSE,FaceSanae_sw,FaceRakuki_no2
妖怪会如何与我人类何干？,FALSE,TRUE,FaceSanae_sw,FaceRakuki_no
看来只能强行突破了,TRUE,FALSE,FaceSanae_an,FaceRakuki_no
来吧 弹幕对战！,TRUE,FALSE,FaceSanae_an2,FaceRakuki_no
天真！,FALSE,TRUE,FaceSanae_an2,FaceRakuki_an
你真以为你能逃过我的箭雨吗？,FALSE,TRUE,FaceSanae_an2,FaceRakuki_an
在这把琴引山的神弓下,FALSE,TRUE,FaceSanae_an2,FaceRakuki_dp
去死吧！,FALSE,TRUE,FaceSanae_an2,FaceRakuki_bk